Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000040152,Thbs1,Gene Expression,0.7693514310765219,0.0,0.0,23380,13.708683321603814,1690
ENSMUSG00000026981,Il1rn,Gene Expression,0.7629868752615159,0.0,0.0,18607,10.521752211863799,1652
ENSMUSG00000031972,Acta1,Gene Expression,0.7592631474622606,0.0,0.0,88397,35.1257157094925,1794
ENSMUSG00000057003,Myh4,Gene Expression,0.7550692374850493,0.0,0.0,47155,18.611865688229486,1660
ENSMUSG00000017300,Tnnc2,Gene Expression,0.7466126406844648,0.0,0.0,41025,16.248108921841425,1610
ENSMUSG00000061723,Tnnt3,Gene Expression,0.7376969578633265,0.0,0.0,40537,16.23610149838882,1617
ENSMUSG00000032060,Cryab,Gene Expression,0.7110744713933166,0.0,0.0,35064,13.851453118199354,1649
ENSMUSG00000030399,Ckm,Gene Expression,0.707788060001859,0.0,0.0,27865,11.039886074346766,1539
ENSMUSG00000051747,Ttn,Gene Expression,0.7075486132696737,0.0,0.0,24055,9.57047455946444,1514
ENSMUSG00000026208,Des,Gene Expression,0.7055928645063951,0.0,0.0,33641,13.473299551636089,1663
ENSMUSG00000030672,Mylpf,Gene Expression,0.703997986949985,0.0,0.0,20666,8.081642375304554,1391
ENSMUSG00000030730,Atp2a1,Gene Expression,0.7017881112106976,0.0,0.0,23193,9.30848475339571,1496
ENSMUSG00000030470,Csrp3,Gene Expression,0.6925763628744923,0.0,0.0,17698,7.086787917302013,1431
ENSMUSG00000061816,Myl1,Gene Expression,0.6896990285894546,0.0,0.0,12978,5.218315190078811,1284
ENSMUSG00000036854,Hspb6,Gene Expression,0.683706829240551,0.0,0.0,14722,5.9397430567305625,1382
ENSMUSG00000056328,Myh1,Gene Expression,0.6812483366692081,0.0,0.0,15488,6.239230667562004,1354
ENSMUSG00000006221,Hspb7,Gene Expression,0.6810099077850085,0.0,0.0,13037,5.051407336289835,1273
ENSMUSG00000020077,Srgn,Gene Expression,0.6796898636928583,0.0,0.0,7815,4.38032972474813,1362
ENSMUSG00000019987,Arg1,Gene Expression,0.6775150141483157,0.0,0.0,9756,4.784362699751404,1205
ENSMUSG00000027398,Il1b,Gene Expression,0.6772293767537616,0.0,0.0,8115,4.476042964657118,1281
ENSMUSG00000031097,Tnni2,Gene Expression,0.6701504868591724,0.0,0.0,8061,3.2466464986472117,1139
ENSMUSG00000029379,Cxcl3,Gene Expression,0.6641458444643117,0.0,0.0,3616,2.0556571069027143,853
ENSMUSG00000027559,Car3,Gene Expression,0.6575650122667738,0.0,0.0,22479,9.211121175235808,1510
ENSMUSG00000030695,Aldoa,Gene Expression,0.6535280725316092,0.0,0.0,45732,18.91200336811604,1819
ENSMUSG00000031762,Mt2,Gene Expression,0.6507968729760446,0.0,0.0,86116,37.57017523660174,1842
ENSMUSG00000060600,Eno3,Gene Expression,0.6455991858724787,0.0,0.0,10919,4.338468171735141,1295
ENSMUSG00000032366,Tpm1,Gene Expression,0.644466630618586,0.0,0.0,23380,9.306090185498316,1660
ENSMUSG00000005716,Pvalb,Gene Expression,0.6403180704764553,0.0,0.0,7792,3.052172472323242,1091
ENSMUSG00000038670,Mybpc2,Gene Expression,0.6375058266717877,0.0,0.0,6764,2.7099695362608256,1097
ENSMUSG00000031765,Mt1,Gene Expression,0.6259503131251314,0.0,0.0,79383,35.45064751276438,1837
ENSMUSG00000052374,Actn2,Gene Expression,0.62229373442486,0.0,0.0,6921,2.6962485305796142,1061
ENSMUSG00000022126,Acod1,Gene Expression,0.6200814960156311,0.0,0.0,3059,1.853981209234953,871
ENSMUSG00000028464,Tpm2,Gene Expression,0.6066200950217795,0.0,0.0,17540,6.9073010764691585,1551
ENSMUSG00000018930,Ccl4,Gene Expression,0.6062924949074584,0.0,0.0,3394,1.8426008302000436,866
ENSMUSG00000029661,Col1a2,Gene Expression,0.6055025193384594,0.0,0.0,34974,19.168315492289413,1787
ENSMUSG00000056071,S100a9,Gene Expression,0.5956239599014794,0.0,0.0,26091,13.240587088555085,1774
ENSMUSG00000007877,Tcap,Gene Expression,0.5949676272066017,0.0,0.0,4073,1.6019851330290387,883
ENSMUSG00000032648,Pygm,Gene Expression,0.5919699821302307,0.0,0.0,6126,2.483971276100545,1082
ENSMUSG00000020475,Pgam2,Gene Expression,0.5869896843252074,0.0,0.0,3916,1.5728512943602901,882
ENSMUSG00000031722,Hp,Gene Expression,0.5862885710508051,0.0,0.0,31992,14.48629306493241,1596
ENSMUSG00000030592,Ryr1,Gene Expression,0.579822395984074,0.0,0.0,3951,1.5962253533167219,941
ENSMUSG00000053522,Lgals7,Gene Expression,0.5793040143753275,0.0,0.0,35608,13.72446343240134,1758
ENSMUSG00000000982,Ccl3,Gene Expression,0.5752818391470724,0.0,0.0,2384,1.3553080639527235,668
ENSMUSG00000027360,Hdc,Gene Expression,0.5735364683739277,0.0,0.0,2595,1.4812573470047492,839
ENSMUSG00000061780,Cfd,Gene Expression,0.5704303267806542,0.0,0.0,14551,6.583607864963667,1324
ENSMUSG00000020372,Rack1,Gene Expression,0.5688221893060393,0.0,0.0,26104,11.668181092383094,1776
ENSMUSG00000023092,Fhl1,Gene Expression,0.5662895886392795,0.0,0.0,6674,2.692910188523759,1170
ENSMUSG00000068699,Flnc,Gene Expression,0.5662290320346544,0.0,0.0,4716,1.8754718138905446,982
ENSMUSG00000049134,Nrap,Gene Expression,0.5634073904454371,0.0,0.0,4210,1.6691995900555545,932
ENSMUSG00000001156,Mxd1,Gene Expression,0.5596231769821792,0.0,0.0,2602,1.490154715485437,868
ENSMUSG00000040026,Saa3,Gene Expression,0.5556705970036062,0.0,0.0,33283,17.158849190033973,1776
ENSMUSG00000001506,Col1a1,Gene Expression,0.5551705415379585,0.0,0.0,29172,15.342026390684284,1769
ENSMUSG00000007097,Atp1a2,Gene Expression,0.5541612997056456,0.0,0.0,5941,2.371666140440623,1145
ENSMUSG00000062515,Fabp4,Gene Expression,0.5524275651376633,0.0,0.0,10178,4.786362367783467,1261
ENSMUSG00000056054,S100a8,Gene Expression,0.5524191309396601,0.0,0.0,14058,6.974227808656206,1675
ENSMUSG00000026043,Col3a1,Gene Expression,0.5523327837893005,0.0,0.0,62170,33.370349338678494,1821
