Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000040152,Thbs1,Gene Expression,0.902385254482257,0.0,0.0,95431,52.999676841134985,1352
ENSMUSG00000029379,Cxcl3,Gene Expression,0.8694961474695535,0.0,0.0,35739,18.5037988021803,1158
ENSMUSG00000027398,Il1b,Gene Expression,0.8686791786094182,0.0,0.0,51690,27.052042958916765,1258
ENSMUSG00000056071,S100a9,Gene Expression,0.8588732908970892,0.0,0.0,140572,75.73395383564569,1365
ENSMUSG00000020077,Srgn,Gene Expression,0.8557801407308434,0.0,0.0,41566,22.774400318437966,1276
ENSMUSG00000017002,Slpi,Gene Expression,0.8265016768863183,0.0,0.0,31994,17.670672949389626,1287
ENSMUSG00000026981,Il1rn,Gene Expression,0.819568966256098,0.0,0.0,28709,16.23740054078797,1280
ENSMUSG00000031762,Mt2,Gene Expression,0.8185893171582224,0.0,0.0,71481,53.44045180258292,1367
ENSMUSG00000024661,Fth1,Gene Expression,0.8158106396026515,0.0,0.0,238549,139.5094691683594,1367
ENSMUSG00000022126,Acod1,Gene Expression,0.8154376156333201,0.0,0.0,16741,8.950301445297601,1038
ENSMUSG00000056054,S100a8,Gene Expression,0.8140040512415229,0.0,0.0,49462,27.420616054720647,1348
ENSMUSG00000053522,Lgals7,Gene Expression,0.8131803079890243,0.0,0.0,31752,16.656516140723042,1248
ENSMUSG00000021025,Nfkbia,Gene Expression,0.8111872553404983,0.0,0.0,38780,21.020978323358126,1307
ENSMUSG00000019987,Arg1,Gene Expression,0.8091506540789944,0.0,0.0,19760,15.823760420541003,1142
ENSMUSG00000027360,Hdc,Gene Expression,0.8085484532945155,0.0,0.0,11236,6.3281673834185455,1008
ENSMUSG00000029304,Spp1,Gene Expression,0.8079546129443265,0.0,0.0,12307,6.670841962554983,995
ENSMUSG00000030730,Atp2a1,Gene Expression,0.8013841484173022,0.0,0.0,45904,36.37930513951772,1314
ENSMUSG00000031765,Mt1,Gene Expression,0.8007468215178618,0.0,0.0,62278,44.44617326375252,1366
ENSMUSG00000031972,Acta1,Gene Expression,0.800064511727169,0.0,0.0,100871,76.23046253419626,1361
ENSMUSG00000057003,Myh4,Gene Expression,0.7991020689210196,0.0,0.0,63308,52.31431155432858,1334
ENSMUSG00000030399,Ckm,Gene Expression,0.7960512279474673,0.0,0.0,46150,37.89996930285126,1324
ENSMUSG00000026043,Col3a1,Gene Expression,0.7879405679776463,0.0,0.0,46967,30.84768456067116,1347
ENSMUSG00000061723,Tnnt3,Gene Expression,0.7876301438748972,0.0,0.0,51018,39.652286281032154,1334
ENSMUSG00000000982,Ccl3,Gene Expression,0.784149869449216,0.0,0.0,9563,4.878074520552705,832
ENSMUSG00000001506,Col1a1,Gene Expression,0.7836790741325664,0.0,0.0,29495,18.966475633345514,1299
ENSMUSG00000028834,Trim63,Gene Expression,0.7794741153377949,0.0,0.0,6932,5.8575122121546315,936
ENSMUSG00000017300,Tnnc2,Gene Expression,0.7778965690002563,0.0,0.0,46437,36.08782346001068,1316
ENSMUSG00000030672,Mylpf,Gene Expression,0.7776881755088058,0.0,0.0,34619,27.835649293447272,1292
ENSMUSG00000018930,Ccl4,Gene Expression,0.7776587021532373,0.0,0.0,9374,4.851781007502701,852
ENSMUSG00000032487,Ptgs2,Gene Expression,0.7761779410996518,0.0,0.0,8384,4.388466851155911,814
ENSMUSG00000029661,Col1a2,Gene Expression,0.7723305799221242,0.0,0.0,25811,16.902066966909302,1280
ENSMUSG00000024803,Ankrd1,Gene Expression,0.7656362075420926,0.0,0.0,3805,2.985385846266921,730
ENSMUSG00000022651,Retnlg,Gene Expression,0.765305893408542,0.0,0.0,5982,3.1115506524016583,755
ENSMUSG00000045545,Krt14,Gene Expression,0.7642729232897936,0.0,0.0,26858,13.827486131579354,1277
