Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000026981,Il1rn,Gene Expression,0.7968227301365214,0.0,0.0,12137,16.90457726356514,1080
ENSMUSG00000019987,Arg1,Gene Expression,0.7879677357886915,0.0,0.0,11738,14.142006385782672,1025
ENSMUSG00000056071,S100a9,Gene Expression,0.7520287458229142,0.0,0.0,7767,10.247518045826029,951
ENSMUSG00000017002,Slpi,Gene Expression,0.7412505250573365,0.0,0.0,4952,7.080788060554993,917
ENSMUSG00000040152,Thbs1,Gene Expression,0.679192458183132,0.0,0.0,5027,7.273348888843378,949
ENSMUSG00000039753,Fbxl5,Gene Expression,0.6696239218664181,0.0,0.0,8143,9.221948917847186,1071
ENSMUSG00000017737,Mmp9,Gene Expression,0.6681837449089626,0.0,0.0,3046,4.156157716922146,752
ENSMUSG00000056054,S100a8,Gene Expression,0.6672924411156823,0.0,0.0,4366,5.8963646090743485,860
ENSMUSG00000057003,Myh4,Gene Expression,0.6621086591959083,0.0,0.0,45641,34.033847186398134,1052
ENSMUSG00000061723,Tnnt3,Gene Expression,0.6572171417078918,0.0,0.0,36527,27.31693374124933,1048
ENSMUSG00000030730,Atp2a1,Gene Expression,0.6548463636258192,0.0,0.0,27132,19.869006526408587,987
ENSMUSG00000031972,Acta1,Gene Expression,0.6501285397457932,0.0,0.0,69236,52.36590774448789,1089
ENSMUSG00000061816,Myl1,Gene Expression,0.6488269421799554,0.0,0.0,12583,9.365781282876288,899
ENSMUSG00000024661,Fth1,Gene Expression,0.6424694038370371,0.0,0.0,130022,118.1205979037876,1142
ENSMUSG00000017300,Tnnc2,Gene Expression,0.6421553496521694,0.0,0.0,36201,27.126603233020337,1031
ENSMUSG00000030672,Mylpf,Gene Expression,0.6418995890676534,0.0,0.0,21986,16.083796302219888,972
ENSMUSG00000030399,Ckm,Gene Expression,0.6387812643434162,0.0,0.0,28252,21.318652341333962,1013
ENSMUSG00000032366,Tpm1,Gene Expression,0.6305627316302507,0.0,0.0,22562,16.93045268307122,1045
ENSMUSG00000053522,Lgals7,Gene Expression,0.6238551849244464,0.0,0.0,21968,14.792450294556156,1014
ENSMUSG00000020372,Rack1,Gene Expression,0.6205957292208032,0.0,0.0,22556,16.86569619621499,1072
ENSMUSG00000020077,Srgn,Gene Expression,0.6200945015789829,0.0,0.0,3399,4.64641470283857,894
ENSMUSG00000067653,Ankrd23,Gene Expression,0.6194974527743732,0.0,0.0,1849,1.3417878602209028,411
ENSMUSG00000051747,Ttn,Gene Expression,0.6186952620719695,0.0,0.0,17580,13.399419637591475,949
ENSMUSG00000005716,Pvalb,Gene Expression,0.6086201901207564,0.0,0.0,8886,6.463353880515369,787
ENSMUSG00000030470,Csrp3,Gene Expression,0.6061112655779606,0.0,0.0,9285,7.4115586943954845,798
ENSMUSG00000027398,Il1b,Gene Expression,0.6057617716032204,0.0,0.0,2144,2.967552684980243,701
ENSMUSG00000025498,Irf7,Gene Expression,0.6054043643921413,0.0,0.0,5569,3.9943059454881364,850
ENSMUSG00000006457,Actn3,Gene Expression,0.6041292175975779,0.0,0.0,5377,3.950790324401069,713
