Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000056071,S100a9,Gene Expression,0.8468461296270746,0.0,0.0,51950,40.43360573035389,1276
ENSMUSG00000040152,Thbs1,Gene Expression,0.8417634496821781,0.0,0.0,20354,18.783012258392063,1187
ENSMUSG00000027398,Il1b,Gene Expression,0.8106759815459952,0.0,0.0,10365,8.929171445985912,944
ENSMUSG00000026981,Il1rn,Gene Expression,0.7926149125153693,0.0,0.0,11820,9.929416039442593,1134
ENSMUSG00000020077,Srgn,Gene Expression,0.7835474376665549,0.0,0.0,8340,7.103314510937247,950
ENSMUSG00000031972,Acta1,Gene Expression,0.7764254447852638,0.0,0.0,31331,19.716227573348633,1106
ENSMUSG00000017002,Slpi,Gene Expression,0.7514436745054495,0.0,0.0,7103,6.435339767106444,1025
ENSMUSG00000056054,S100a8,Gene Expression,0.7509175938138741,0.0,0.0,21183,15.584911097687087,1226
ENSMUSG00000019987,Arg1,Gene Expression,0.7402273673411993,0.0,0.0,8530,8.024879117096718,981
ENSMUSG00000030730,Atp2a1,Gene Expression,0.7309575051012625,0.0,0.0,10483,6.585912613429808,881
ENSMUSG00000053522,Lgals7,Gene Expression,0.727227915747495,0.0,0.0,40442,22.288355918747662,1220
ENSMUSG00000057003,Myh4,Gene Expression,0.7270545638030174,0.0,0.0,15332,9.732761397462015,951
ENSMUSG00000017300,Tnnc2,Gene Expression,0.723249930664008,0.0,0.0,13141,8.292334997780857,904
ENSMUSG00000029379,Cxcl3,Gene Expression,0.7151902074105021,0.0,0.0,3979,3.4420198510583155,697
ENSMUSG00000022126,Acod1,Gene Expression,0.7109552801383535,0.0,0.0,4248,3.738755564990039,755
ENSMUSG00000031762,Mt2,Gene Expression,0.703826292232803,0.0,0.0,41622,27.885163710263594,1240
ENSMUSG00000061723,Tnnt3,Gene Expression,0.7012899078150027,0.0,0.0,11763,7.348847465608207,923
ENSMUSG00000030399,Ckm,Gene Expression,0.6903876442916548,0.0,0.0,9650,6.201693113234793,880
ENSMUSG00000027559,Car3,Gene Expression,0.6817515491480308,0.0,0.0,7429,4.747663453867194,828
ENSMUSG00000030672,Mylpf,Gene Expression,0.6789481290576539,0.0,0.0,9172,5.612006186933691,829
ENSMUSG00000031765,Mt1,Gene Expression,0.6694642539242126,0.0,0.0,37927,25.238720838988264,1244
ENSMUSG00000021025,Nfkbia,Gene Expression,0.6567732233061779,0.0,0.0,9903,8.35658471280379,1159
ENSMUSG00000027360,Hdc,Gene Expression,0.655906784681076,0.0,0.0,2659,2.4453464976178574,674
ENSMUSG00000026208,Des,Gene Expression,0.6558350716501142,0.0,0.0,9246,5.787653171241457,957
ENSMUSG00000045545,Krt14,Gene Expression,0.6440586479850484,0.0,0.0,33501,18.043382522925874,1220
ENSMUSG00000020372,Rack1,Gene Expression,0.6410317290476321,0.0,0.0,17709,10.84614885186325,1196
ENSMUSG00000061816,Myl1,Gene Expression,0.6389988599574831,0.0,0.0,4998,3.0383593869343684,708
ENSMUSG00000051747,Ttn,Gene Expression,0.6380670530899372,0.0,0.0,6740,4.318750821939676,806
ENSMUSG00000029304,Spp1,Gene Expression,0.6338204005088559,0.0,0.0,3065,2.9697478583084176,724
ENSMUSG00000064373,Selenop,Gene Expression,0.6295832812706592,0.0,0.0,8695,6.420416862424302,1107
ENSMUSG00000026043,Col3a1,Gene Expression,0.621641655776095,0.0,0.0,43210,31.082790485493742,1246
ENSMUSG00000019761,Krt10,Gene Expression,0.6206523519402809,0.0,0.0,25964,14.360655281466233,1181
ENSMUSG00000061527,Krt5,Gene Expression,0.6194936652532015,0.0,0.0,13080,7.478553836350342,1100
ENSMUSG00000029661,Col1a2,Gene Expression,0.6187591400660752,0.0,0.0,16927,12.484825743643917,1179
