Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000031972,Acta1,Gene Expression,0.6387301093360955,0.0,0.0,23285,11.110000956596146,1119
ENSMUSG00000019987,Arg1,Gene Expression,0.6285137134409317,0.0,0.0,39949,24.03280265015526,1425
ENSMUSG00000061723,Tnnt3,Gene Expression,0.599794997940547,0.0,0.0,9331,4.321796343579729,796
ENSMUSG00000017300,Tnnc2,Gene Expression,0.5980148544141572,0.0,0.0,11310,5.33611325395462,862
ENSMUSG00000053522,Lgals7,Gene Expression,0.5976254708402554,0.0,0.0,17840,8.337160722129827,1139
ENSMUSG00000027559,Car3,Gene Expression,0.5924542362335403,0.0,0.0,7662,3.4400384132084123,761
ENSMUSG00000024661,Fth1,Gene Expression,0.5873913839811157,0.0,0.0,95272,54.192066616890884,1482
ENSMUSG00000061816,Myl1,Gene Expression,0.5804954376930109,0.0,0.0,3165,1.392515669418965,479
ENSMUSG00000032060,Cryab,Gene Expression,0.5720699452939946,0.0,0.0,9548,4.387842121090471,877
ENSMUSG00000026981,Il1rn,Gene Expression,0.5636107086502573,0.0,0.0,17635,10.999569501718518,1369
ENSMUSG00000045545,Krt14,Gene Expression,0.5625802042324864,0.0,0.0,17446,7.875727270529803,1107
ENSMUSG00000029661,Col1a2,Gene Expression,0.5623139660472497,0.0,0.0,19328,12.122641654648634,1303
ENSMUSG00000030399,Ckm,Gene Expression,0.5582058672094562,0.0,0.0,5517,2.7542510088404115,616
ENSMUSG00000056328,Myh1,Gene Expression,0.551559913034474,0.0,0.0,6948,3.345221994561007,725
ENSMUSG00000030470,Csrp3,Gene Expression,0.5503505030099327,0.0,0.0,5560,2.552101348935993,658
ENSMUSG00000057003,Myh4,Gene Expression,0.5447098146729392,0.0,0.0,6342,2.99717828821933,664
ENSMUSG00000030730,Atp2a1,Gene Expression,0.5418297119118425,0.0,0.0,4956,2.1501865306773507,587
ENSMUSG00000026043,Col3a1,Gene Expression,0.541652107540825,0.0,0.0,34239,18.573254089370714,1362
ENSMUSG00000026208,Des,Gene Expression,0.5404501311581511,0.0,0.0,7805,3.733187070195275,825
ENSMUSG00000017002,Slpi,Gene Expression,0.5344873355669022,0.0,0.0,10624,6.545256869644507,1254
ENSMUSG00000031097,Tnni2,Gene Expression,0.5330977657612516,0.0,0.0,2501,1.1449026199198686,466
ENSMUSG00000039753,Fbxl5,Gene Expression,0.532999195505461,0.0,0.0,12064,7.614585348638253,1323
ENSMUSG00000032366,Tpm1,Gene Expression,0.531734306343705,0.0,0.0,6707,3.1844354106196744,911
ENSMUSG00000051747,Ttn,Gene Expression,0.531482098796715,0.0,0.0,6196,2.836948831832811,666
ENSMUSG00000036854,Hspb6,Gene Expression,0.5279438137298592,0.0,0.0,4204,2.0144578795609496,632
ENSMUSG00000061527,Krt5,Gene Expression,0.5275385518711999,0.0,0.0,7931,3.949144959123905,895
ENSMUSG00000030672,Mylpf,Gene Expression,0.5256888297382776,0.0,0.0,4459,1.9863546539871277,565
ENSMUSG00000001506,Col1a1,Gene Expression,0.5225781170435487,0.0,0.0,17426,9.721713579737793,1268
ENSMUSG00000060600,Eno3,Gene Expression,0.5068310699822979,0.0,0.0,3326,1.4975710444389891,540
ENSMUSG00000006221,Hspb7,Gene Expression,0.5056331643648723,0.0,0.0,3522,1.602883255048492,497
ENSMUSG00000028464,Tpm2,Gene Expression,0.4998586106405579,0.0,0.0,4344,2.098635874238769,685
ENSMUSG00000019761,Krt10,Gene Expression,0.4871386423323958,0.0,0.0,19140,8.336424583382334,1198
ENSMUSG00000026193,Fn1,Gene Expression,0.48219477106766934,0.0,0.0,8712,4.876383447377238,1158
ENSMUSG00000038642,Ctss,Gene Expression,0.47745159802058157,0.0,0.0,13902,7.921574117050656,1262
ENSMUSG00000036256,Igfbp7,Gene Expression,0.4735421125410221,0.0,0.0,4033,2.1990464662665765,878
ENSMUSG00000017737,Mmp9,Gene Expression,0.4722771410819439,0.0,0.0,5937,3.4454679734317164,1060
ENSMUSG00000007877,Tcap,Gene Expression,0.47183144867273946,0.0,0.0,2033,0.9002878765150248,360
ENSMUSG00000056071,S100a9,Gene Expression,0.47043887575345206,0.0,0.0,9183,5.168879275872251,1179
ENSMUSG00000062515,Fabp4,Gene Expression,0.46880161537410353,0.0,0.0,3612,1.882587233985211,580
ENSMUSG00000052374,Actn2,Gene Expression,0.4627640630694014,0.0,0.0,2095,0.9809196045555114,389
ENSMUSG00000031762,Mt2,Gene Expression,0.4624981892694033,0.0,0.0,25323,12.713725341439021,1344
ENSMUSG00000031765,Mt1,Gene Expression,0.46057348803540255,0.0,0.0,24622,12.616522907513756,1359
ENSMUSG00000020475,Pgam2,Gene Expression,0.45763237257191375,0.0,0.0,1410,0.6170106208038968,324
ENSMUSG00000045763,Basp1,Gene Expression,0.4573665212341324,0.0,0.0,5887,3.4381902903273565,1085
ENSMUSG00000064373,Selenop,Gene Expression,0.45666535151528626,0.0,0.0,6266,3.3731791050449056,1092
ENSMUSG00000023092,Fhl1,Gene Expression,0.4564285073130291,0.0,0.0,2885,1.3599028848689045,548
ENSMUSG00000031633,Slc25a4,Gene Expression,0.45577361419243806,0.0,0.0,4462,2.1814367988838055,915
ENSMUSG00000030592,Ryr1,Gene Expression,0.4538622957497514,0.0,0.0,848,0.3817067952029075,267
ENSMUSG00000020372,Rack1,Gene Expression,0.4475816316862805,0.0,0.0,12948,6.648779687359321,1276
ENSMUSG00000018927,Ccl6,Gene Expression,0.4458831722023412,0.0,0.0,11626,6.304322549562528,1169
ENSMUSG00000018593,Sparc,Gene Expression,0.44159600803974025,0.0,0.0,4367,2.355883811366782,946
ENSMUSG00000025172,Ankrd2,Gene Expression,0.4311505188369816,0.0,0.0,1064,0.501060856071975,281
ENSMUSG00000005716,Pvalb,Gene Expression,0.4296269780317395,0.0,0.0,1549,0.6970442814860311,313
ENSMUSG00000049775,Tmsb4x,Gene Expression,0.42892989032116746,0.0,0.0,52044,30.564644149589192,1478
ENSMUSG00000015950,Ncf1,Gene Expression,0.4279431166863957,0.0,0.0,6281,3.997163501836779,1156
ENSMUSG00000030189,Ybx3,Gene Expression,0.42098189859875307,0.0,0.0,5074,2.473322659754943,1019
ENSMUSG00000021798,Ldb3,Gene Expression,0.4199464912635299,0.0,0.0,1208,0.5277141887792974,313
ENSMUSG00000030785,Cox6a2,Gene Expression,0.41728113678665246,0.0,0.0,1231,0.52156820776876,316
